row,dam,lat,lng,status,detail,search_radius,raw_ids
3,北辰,45.31615403,141.8938668,ok,cont-2:id=2319(N1_soc),,[2319]
4,雄武,44.48086686,142.88431321,ok,cont-2:id=2024(N2_vis_al),,[2024]
5,武利,43.94185954,143.33958292,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
6,協栄,43.79269708,143.97487137,ok,cont-1:id=1869(Pg2_snc),,[1869]
7,鹿ノ子,43.60745738,143.38812142,ok,cont-2:id=2361(N3_sns); cont-5:id=1883(H_sad),500,[1883]
8,富里,43.85528702,143.75308326,ok,cont-1:id=858(J32-K111_vba_ol_Kn),,[858]
9,卯原内,43.97756271,144.06983501,ok,cont-1:id=1078(Pg4_som),,[1078]
10,古梅,43.69891701,144.22558038,ok,cont-4:id=2336(Q2_vas_ap),,[2336]
11,緑,43.6707744,144.63005927,ok,cont-4:id=2322(Q31_vas_ap),,[2322]
12,牧の内,43.35821532,145.63890974,ok,cont-1:id=1213(K22_sosma),,[1213]
13,庶路,43.17417022,143.98427387,ok,cont-1:id=1991(Pg2_sns),,[1991]
14,岩松,43.19712966,142.93636115,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
15,屈足,43.14849021,142.90742457,ok,cont-4:id=2355(Q12_vas_ap); cont-5:id=1883(H_sad),500,[1883]
16,富村,43.43305158,142.88404944,ok,cont-2:id=2368(N3_vas_ap),,[2368]
17,美生,42.80650517,142.85187238,ok,cont-1:id=1346(K214-Pg1_sosma_KPg),,[1346]
18,札内川,42.58796402,142.9233963,ok,cont-1:id=2085(K214-Pg1_soss_KPg),,[2085]
19,西札内,42.64103017,143.07047833,ok,cont-1:id=2085(K214-Pg1_soss_KPg),,[2085]
20,幌加,43.43074089,143.13262943,ok,cont-2:id=2376(N2_vas_al),,[2376]
21,佐幌,43.17026153,142.83855347,ok,cont-4:id=2355(Q12_vas_ap),,[2355]
22,十勝,43.24059251,142.93904031,ok,cont-1:id=1175(K214-Pg1_sx_KPg),,[1175]
23,糠南,43.39178042,143.32831657,ok,cont-2:id=2387(N3_vas_al),,[2387]
24,元小屋,43.34561111,143.2673056,ok,cont-2:id=2082(N3_vis_al),,[2082]
25,幕別,42.87359324,143.27799628,ok,cont-4:id=2415(Q1-21_sb),,[2415]
26,糠平,43.37292954,143.22132114,ok,cont-2:id=2082(N3_vis_al),,[2082]
27,活込,43.23325964,143.47910203,ok,cont-4:id=1405(Q31_std); cont-5:id=1406(Q32-33_std),500,"[1405, 1406, 2355]"
28,幌満川第3,42.12499108,143.06974443,ok,cont-1:id=461(Pg4_pu_a),,[461]
29,様似,42.18519444,142.95868459,ok,cont-1:id=1055(K_sx_Ki),,[1055]
30,浦河,42.23950186,142.82422383,ok,cont-1:id=919(K21_som); cont-5:id=1883(H_sad),500,[1883]
31,三石,42.38135916,142.69560479,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
32,高見,42.45760853,142.63737363,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
33,東の沢,42.47472021,142.7746389,ok,cont-1:id=1055(K_sx_Ki),,[1055]
34,双川,42.41800027,142.54625028,ok,cont-2:id=2124(N1_pim_a),,[2124]
35,春別,42.54652778,142.5921389,ok,cont-1:id=1862(K21_soss),,[1862]
36,静内,42.41409018,142.56673588,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
37,新冠,42.60635865,142.55670461,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
38,下新冠,42.56651047,142.53577414,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
39,岩清水,42.54351215,142.53695792,ok,cont-1:id=53(P3-J2_vbs_o_Ki),,[53]
40,奥新冠,42.67397543,142.67789773,ok,cont-1:id=1055(K_sx_Ki),,[1055]
41,門別,42.54704461,142.20465323,ok,cont-2:id=2366(N3_soc),,[2366]
42,奥沙流,42.92663545,142.67005149,ok,cont-2:id=2140(N1_pin_a),,[2140]
43,平取,42.68030322,142.38624801,ok,cont-1:id=1175(K214-Pg1_sx_KPg); cont-5:id=1883(H_sad),500,[1883]
44,岩知志,42.79643117,142.3966423,ok,cont-1:id=54(K1-211_vbs_o_KPg),,[54]
